name,address,virtual_file,lines,suspect_count,suspect_types,complexity_score
FUN_10002ea0,10002ea0,.,51,21,pointer_cast|pointer_truncation|undefined_data|unresolved_funcptr|unrolled_memcpy|unrolled_memset,291
FUN_10002f40,10002f40,.,6,5,undefined_data|unresolved_funcptr,66
FUN_10002f60,10002f60,.,63,30,displaced_global_access|param_count_too_few|raw_address_constant|undefined_data|unnamed_param|unresolved_funcptr|unrolled_memcpy|unrolled_memset,403
FUN_10003090,10003090,.,16,7,param_count_too_few|unnamed_param,96
FUN_100030e0,100030e0,.,6,5,param_count_too_few|undefined_data|unnamed_param,71
FUN_10003100,10003100,.,109,44,undefined_data|unresolved_funcptr|unrolled_memcpy|unrolled_memset,569
FUN_10003400,10003400,.,89,22,pointer_cast|pointer_truncation|undefined_data|unresolved_funcptr|unrolled_memcpy|unrolled_memset|warning_overlapping_globals,344
FUN_100035b0,100035b0,.,59,16,undefined_data|unresolved_funcptr|unrolled_memset|warning_overlapping_globals,239
FUN_100037e0,100037e0,.,12,17,param_count_too_few|undefined_data|unnamed_param|unresolved_funcptr,202
FUN_10003830,10003830,.,102,24,undefined_data|warning_overlapping_globals,352
FUN_10003a30,10003a30,.,15,5,param_count_too_few|undefined_data|unnamed_param,80
FUN_10003a80,10003a80,.,100,30,displaced_global_access|stack_ref|unaffected_reg|undefined_data|unresolved_funcptr|unrolled_memcpy|unrolled_memset,435
FUN_10003d90,10003d90,.,32,17,param_count_too_few|pointer_cast|undefined_data|unnamed_param,222
FUN_10003e40,10003e40,.,30,16,pointer_cast|unnamed_param|unrolled_memcpy,205
APIDLLselectTexture,10003e90,.,9,13,undefined_data|unnamed_param,149
APIDLLupdateTexture,10003ed0,.,9,12,undefined_data|unnamed_param,139
APIDLLsetMipMapLevel,10003f00,.,5,0,,5
FUN_10003f10,10003f10,.,153,97,displaced_global_access|param_count_too_few|undefined_data|unnamed_param|unresolved_funcptr|warning_overlapping_globals,1153
APIDLLdrawPolygon,10004380,.,18,13,param_count_too_few|undefined_data|unnamed_param,163
APIDLLdrawPolygon2,100043c0,.,59,26,undefined_data|unnamed_param,329
FUN_100044b0,100044b0,.,109,88,bit_int_float_compare|param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,1014
FUN_100047b0,100047b0,.,10,11,undefined_data|unresolved_funcptr,130
APIDLLaddParticle,10004800,.,5,0,,5
APIDLLflushParticleList,10004810,.,5,0,,5
APIDLLadd3dLine,10004820,.,5,0,,5
APIDLLflushLineList,10004830,.,5,0,,5
APIDLLclear,10004840,.,49,13,undefined_data|unresolved_funcptr|unrolled_memset,194
APIDLLsetFogColor,100049f0,.,16,13,undefined_data|unnamed_param|warning_overlapping_globals,161
APIDLLsync,10004a60,.,6,0,,6
APIDLLclearZBuffer,10004a70,.,17,4,undefined_data|unresolved_funcptr|unrolled_memset,72
APIDLLclearZBox,10004ac0,.,25,12,undefined_data|unnamed_param|unresolved_funcptr|unrolled_memset,165
APIDLLsetColorTable16,10004b30,.,66,29,undefined_data|unnamed_param|unrolled_memset,371
FUN_10004d10,10004d10,.,12,6,param_count_too_few|unnamed_param,82
APIDLLGetDisplayContext,10004d30,.,20,12,undefined_data|unnamed_param|unresolved_funcptr,155
APIDLLReleaseDisplayContext,10004da0,.,23,17,undefined_data|unnamed_param|unresolved_funcptr|unrolled_memcpy|unrolled_memset,218
APIDLLmasterZBuffer,10004e10,.,26,11,displaced_global_access|undefined_data|unnamed_param|unresolved_funcptr,156
APIDLLrestoreZBuffer,10004e90,.,22,17,displaced_global_access|undefined_data|unnamed_param|unresolved_funcptr,212
APIDLLdrawPolyList,10004f00,.,46,26,undefined_data|unnamed_param,316
FUN_10005010,10005010,.,53,46,param_count_too_few|undefined_data|unnamed_param|unrolled_memcpy,533
APIDLLdrawPolyList2,10005130,.,46,28,undefined_data|unnamed_param,336
APIDLLgetVideoMemory,10005280,.,14,11,undefined_data|unnamed_param,134
APIDLLselectCard,100052c0,.,7,5,undefined_data|unnamed_param,67
APIDLLbuildCardList,100052e0,.,33,32,pointer_cast|pointer_truncation|undefined_data|unnamed_param|unrolled_memcpy,378
APIDLLlockHoldBuffer,10005350,.,24,7,undefined_data|warning_overlapping_globals,104
APIDLLunlockHoldBuffer,100053a0,.,25,12,undefined_data|unresolved_funcptr|unrolled_memcpy,160
crt_stdio.c__fclose_FUN_10005430,10005430,crt/stdio.c,12,0,,12
crt_stdio.c__fclose_lk_FUN_10005470,10005470,crt/stdio.c,20,0,,20
crt_stdio.c_fprintf_FUN_100054d0,100054d0,crt/stdio.c,11,1,stack_ref,26
crt_stdio.c__fsopen_FUN_10005520,10005520,crt/stdio.c,12,0,,12
crt_stdio.c_fopen_FUN_10005560,10005560,crt/stdio.c,6,0,,6
crt_fpu.c__fpmath_FUN_10005580,10005580,crt/fpu.c,8,1,warning_overlapping_globals,23
crt_fpu.c__install_fp_handlers_FUN_100055b0,100055b0,crt/fpu.c,10,0,,10
crt_startup.c__chkstk_FUN_10005600,10005600,crt/startup.c,13,7,register_param|stack_ref|warning_spacebase,98
crt_stdio.c__sprintf_FUN_10005630,10005630,crt/stdio.c,17,2,param_count_too_few|stack_ref,47
crt_startup.c___CRTDLL_INIT_FUN_100056a0,100056a0,crt/startup.c,63,19,undefined_data|warning_overlapping_globals,263
crt_startup.c__DllMainCRTStartup_FUN_100057f0,100057f0,crt/startup.c,51,11,undefined_data|unresolved_funcptr,171
crt_startup.c__amsg_exit_FUN_100058c0,100058c0,crt/startup.c,9,4,undefined_data|unresolved_funcptr,59
crt_thread.c__mtinitlocks_FUN_10005900,10005900,crt/thread.c,9,2,extra_output,34
crt_thread.c__mtdeletelocks_FUN_10005930,10005930,crt/thread.c,20,3,displaced_global_access|undefined_data,60
crt_thread.c__lock_FUN_100059a0,100059a0,crt/thread.c,23,2,displaced_global_access|undefined_data,53
crt_thread.c__unlock_FUN_10005a10,10005a10,crt/thread.c,5,2,displaced_global_access|undefined_data,35
crt_thread.c__lock_file_FUN_10005a30,10005a30,crt/thread.c,9,1,pointer_truncation,24
crt_stdio.c__lock_file2_FUN_10005a70,10005a70,crt/stdio.c,9,0,,9
crt_thread.c__unlock_file_FUN_10005aa0,10005aa0,crt/thread.c,9,1,pointer_truncation,24
crt_stdio.c__unlock_file2_FUN_10005ae0,10005ae0,crt/stdio.c,9,0,,9
crt_heap.c_free_FUN_10005b30,10005b30,crt/heap.c,7,1,undefined_data,22
crt_io.c__close_FUN_10005b50,10005b50,crt/io.c,19,4,pointer_cast|pointer_truncation|undefined_data,74
crt_io.c__close_lk_FUN_10005bc0,10005bc0,crt/io.c,32,3,pointer_cast|pointer_truncation|undefined_data,77
crt_stdio.c__freebuf_FUN_10005c50,10005c50,crt/stdio.c,11,0,,11
crt_stdio.c_fflush_FUN_10005c90,10005c90,crt/stdio.c,12,0,,12
crt_stdio.c__fflush_lk_FUN_10005cd0,10005cd0,crt/stdio.c,13,0,,13
