Sibling annotation report: nocturne.exe <- nocedit.exe
mapping: /home/aryie/Repositories/NocturneDecomp/research/13-sibling_struct_layout_diff/verified_mapping.json   min-confidence: 0.90   signatures: True
mode: APPLY   NAME_SIG=3186  SIG_ONLY=214  ALREADY=484  SKIP_CONF=694  SKIP_SHAPE=25  SKIP_NAMED=64  SKIP_TU=40

  00411760 <- 00414210  0.99  identical      core_barrier.cpp_CBarrier_setup_FUN_00411760
  00411f20 <- 00414ce0  0.80  same_mnemonics core_bat.cpp_CBat_updateCoursePosition_FUN_00411f20
  00412000 <- 005bac10  0.99  identical      core_bat.cpp_CStairs_dtor_FUN_00412000
  00412de0 <- 00415dd0  0.80  same_mnemonics core_batcreat.cpp_CBatCreature_processDismemberment_FUN_00412de0
  004132c0 <- 00416320  0.90  same_mnemonics core_batcreat.cpp_CBatCreature_dtor_FUN_004132c0
  004133e0 <- 00416450  0.80  same_mnemonics core_batman.cpp_CBatman_ctor_FUN_004133e0
  00413780 <- 004167f0  0.80  same_mnemonics core_batman.cpp_CBatman_pickRandomMovementState_FUN_00413780
  004145f0 <- 00417660  0.80  same_mnemonics core_batman.cpp_CBatman_processDismemberment_FUN_004145f0
  00414930 <- 004179a0  0.90  same_mnemonics core_batman.cpp_CBatman_processDamage_FUN_00414930
  00414b40 <- 00417bb0  0.90  same_mnemonics core_batman.cpp_CBatman_getTargetPoints_FUN_00414b40
  00414c40 <- 00417cb0  0.90  same_mnemonics core_batman.cpp_CBatman_getCollisionType_FUN_00414c40
  00414c60 <- 00417d60  0.90  same_mnemonics core_batman.cpp_CBatman_dtor_FUN_00414c60
  00414de0 <- 00417ef0  0.90  same_mnemonics core_battery.cpp_CBattery_setup_FUN_00414de0
  00414e30 <- 00417f40  0.90  same_mnemonics core_battery.cpp_CBattery_pickup_FUN_00414e30
  00414e40 <- 00417f50  0.90  same_mnemonics core_battery.cpp_CBattery_onDropped_FUN_00414e40
  00414e50 <- 00417f60  0.90  same_mnemonics core_battery.cpp_CBattery_getCarrier_FUN_00414e50
  00414f50 <- 00418060  0.90  same_mnemonics core_battery.cpp_CBattery_getBoundingBox_FUN_00414f50
  004150b0 <- 00418280  0.90  same_mnemonics core_beast.cpp_CBeast_setup_FUN_004150b0
  00415250 <- 00418490  0.90  same_mnemonics core_beast.cpp_CBeast_dtor_FUN_00415250
  00415370 <- 004185c0  0.80  same_mnemonics core_biggs.cpp_CBiggs_ctor_FUN_00415370
  004159c0 <- 00418c10  0.90  same_mnemonics core_biggs.cpp_CBiggs_getTargetPoints_FUN_004159c0
  00415a30 <- 00418d10  0.90  same_mnemonics core_biggs.cpp_CBiggs_dtor_FUN_00415a30
  00415b30 <- 00418e10  0.85  similar_size   core_bodypart.cpp_createBodyPart_FUN_00415b30
  00415d20 <- 00419010  0.93  same_mnemonics core_bodypart.cpp_CBodyPart_ctor_FUN_00415d20
  00416030 <- 00419340  0.78  same_mnemonics core_bodypart.cpp_CBodyPart_renderGeometry_FUN_00416030
  00416b00 <- 00419e10  0.78  same_mnemonics core_bodypart.cpp_CBodyPart_processFires_FUN_00416b00
  00416d40 <- 0041a050  0.93  same_mnemonics core_bodypart.cpp_CBodyPart_finalizeGeometry_FUN_00416d40
  00417320 <- 0041a630  0.78  same_mnemonics core_bodypart.cpp_CBodyPart_applyRotation_FUN_00417320
  00417730 <- 0041aa40  0.78  same_mnemonics core_bodypart.cpp_CBodyPart_optimizeBoundingBoxRotation_FUN_00417730
  00417ac0 <- 0041add0  0.78  same_mnemonics core_bodypart.cpp_CBodyPart_addAttachedModel_FUN_00417ac0
  00417b40 <- 0041ae50  0.78  similar_size   core_bodypart.cpp_CBodyPart_addFire_FUN_00417b40
